summary	Translation	Positive	Negative	EmotionRationale
 Iran appears to be standing down which is a good thing for all parties concerned and a very good thing for the world President Trump said	 Iran appears to be standing down which is a good thing for all parties concerned and a very good thing for the world President Trump said	3	-2	 Iran[0] appears[0] to[0] be[0] standing[0] down[0] which[0] is[0] a[0] good[1] thing[0] for[0] all[0] parties[0] concerned[-1] and[0] a[0] very[0] good[1][1 LastWordBoosterStrength] thing[0] for[0] the[0] world[0] President[0] Trump[0] said[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 Iranians are no threat to America in this country said Ann Coulter stating that three zero zero zero zero Americans are killed every year because of our neighbor to the south 	 Iranians are no threat to America in this country said An Coulter stating that three zero zero zero zero Americans are killed every year because of our neighbor to the south	1	-4	 Iranians[0] are[0] no[0] threat[-2] to[0] America[0] in[0] this[0] country[0] said[0] Ann/An[0] Coulter[0] stating[0] that[0] three[0] zero[0] zero[0] zero[0] zero[0] Americans[0] are[0] killed[-3] every[0] year[0] because[0] of[0] our[0] neighbor[0] to[0] the[0] south[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 Lock her up the crowd at President Donald Trumps campaign rally in Toledo Ohio on Thursday night chanted You should lock her up I all tell you Trump agreed	 Lock her up the crowd at President Donald Trumps campaign rally in Toledo Ohio on Thursday night chanted You should lock her up I all tell you Trump agreed	1	-1	 Lock[0] her[0] up[0] the[0] crowd[0] at[0] President[0] Donald[0] Trumps[0] campaign[0] rally[0] in[0] Toledo[0] Ohio[0] on[0] Thursday[0] night[0] chanted[0] You[0] should[0] lock[0] her[0] up[0] I[0] all[0] tell[0] you[0] Trump[0] agreed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 The Irishman JoJo Rabbit Joker Once Upon a Time in Hollywood and one nine one seven dominated the list of Academy Awards nominees announced Monday	 The Irishman JoJo Rabbit Joker Once Upon a Time in Hollywood and one nine one seven dominated the list of Academy Awards nominees announced Monday	2	-2	 The[0] Irishman[0] JoJo[0] Rabbit[0] Joker[1] Once[0] Upon[0] a[0] Time[0] in[0] Hollywood[0] and[0] one[0] nine[0] one[0] seven[0] dominated[-1] the[0] list[0] of[0] Academy[0] Awards[0] nominees[0] announced[0] Monday[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 To the leaders of Iran DO NOT KILL YOUR PROTESTERS the president tweeted	 To the leaders of Iran DO NOT KILL YOUR PROTESTERS the president tweeted	2	-2	 To[0] the[0] leaders[0] of[0] Iran[0] DO[0] NOT[0] KILL[-1][NegatedDueToPreviousWord] YOUR[0] PROTESTERS[-1] the[0] president[0] tweeted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 View co host Meghan McCain confronted Sen Elizabeth Warren D Mass on Tuesday over the way she described Gen Qassem Soleimani the now deceased head of Irans Revolutionary Guard	 View co host Meghan McCain confronted Sen Elizabeth Warren D Mass on Tuesday over the way she described Gen Qassem Soleimani the now deceased head of Irans Revolutionary Guard	1	-3	 View[0] co[0] host[0] Meghan[0] McCain[0] confronted[-2] Sen[0] Elizabeth[0] Warren[0] D[0] Mass[0] on[0] Tuesday[0] over[0] the[0] way[0] she[0] described[0] Gen[0] Qassem[0] Soleimani[0] the[0] now[0] deceased[0] head[0] of[0] Irans[0] Revolutionary[-1] Guard[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 Wartime measures have been implemented in some parts of the Chinese province of Hubei which is home to Wuhan the epicenter of the coronavirus outbreak Some residents have been barred from leaving their apartments and officials in protective suits were going door to door in Wuhan this week looking for infected people This must be taken seriously Wang Zhonglin Wuhans newly selected Communist Party secretary said according to the Associated Press	 Wartime measures have been implemented in some parts of the Chinese province of Hubei which is home to Wuhan the epicenter of the coronavirus outbreak Some residents have been barred from leaving their apartments and officials in protective suits were going door to door in Wuhan this week looking for infected people This must be taken seriously Wang Zhonglin Wuhans newly selected Communist Party secretary said according to the Associated Press	1	-2	 Wartime[0] measures[0] have[0] been[0] implemented[0] in[0] some[0] parts[0] of[0] the[0] Chinese[0] province[0] of[0] Hubei[0] which[0] is[0] home[0] to[0] Wuhan[0] the[0] epicenter[0] of[0] the[0] coronavirus[0] outbreak[-1] Some[0] residents[0] have[0] been[0] barred[0] from[0] leaving[0] their[0] apartments[0] and[0] officials[0] in[0] protective[0] suits[0] were[0] going[0] door[0] to[0] door[0] in[0] Wuhan[0] this[0] week[0] looking[0] for[0] infected[-1] people[0] This[0] must[0] be[0] taken[0] seriously[0] Wang[0] Zhonglin[0] Wuhans[0] newly[0] selected[0] Communist[0] Party[0] secretary[0] said[0] according[0] to[0] the[0] Associated[0] Press[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 We don t really look at peoples faces one guard at the Japanese private jet terminal said	 We don t really look at peoples faces one guard at the Japanese private jet terminal said	1	-1	 We[0] don[0] t[0] really[0] look[0] at[0] peoples[0] faces[0] one[0] guard[0] at[0] the[0] Japanese[0] private[0] jet[0] terminal[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 We want you to have a future and a great future one that you deserve President Trump said Wednesday Israel Middle East	 We want you to have a future and a great future one that you deserve President Trump said Wednesday Israel Middle East	3	-1	 We[0] want[0] you[0] to[0] have[0] a[0] future[0] and[0] a[0] great[2] future[0] one[0] that[0] you[0] deserve[0] President[0] Trump[0] said[0] Wednesday[0] Israel[0] Middle[0] East[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
e As long as Irans outlaw ways continue we will continue to impose sanctions says Sec of State Mike Pompeo detailing who will be most affected by new sanctions against the Iranian regime	e As long as Irans outlaw ways continue we will continue to impose sanctions says Sec of State Mike Pompeo detailing who will be most affected by new sanctions against the Iranian regime	1	-2	 e[0] As[0] long[0] as[0] Irans[0] outlaw[-1] ways[0] continue[0] we[0] will[0] continue[0] to[0] impose[-1] sanctions[0] says[0] Sec[0] of[0] State[0] Mike[0] Pompeo[0] detailing[0] who[0] will[0] be[0] most[0] affected[0] by[0] new[0] sanctions[0] against[-1] the[0] Iranian[0] regime[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 Keep things in perspective theres not going to be a WWIII says General Jack Keane providing perspective on the escalating tensions between Iran and the US	 Keep things in perspective theres not going to be a WWI says General Jack Keane providing perspective on the escalating tensions between Iran and the US	2	-3	 Keep[0] things[0] in[0] perspective[0] theres[0] not[0] going[0] to[0] be[0] a[0] WWIII/WWI[0][+0.6 MultipleLetters] says[0] General[0] Jack[0] Keane[0] providing[0] perspective[0] on[0] the[0] escalating[0] tensions[-2] between[0] Iran[0] and[0] the[0] US[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 Our leaders are the war mongers says Masih Alinejad Iranian journalist activist reacting to the mixed media reports on the death of General Soleimani	 Our leaders are the war mongers says Masih Alinejad Iranian journalist activist reacting to the mixed media reports on the death of General Soleimani	1	-3	 Our[0] leaders[0] are[0] the[0] war[-2] mongers[0] says[0] Masih[0] Alinejad[0] Iranian[0] journalist[0] activist[0] reacting[0] to[0] the[0] mixed[0] media[0] reports[0] on[0] the[0] death[-2] of[0] General[0] Soleimani[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 That briefing was good in depth and clear says James Risch Senate Foreign Relations Committee discussing the debate between Democrats and Republicans over the Soleimani intelligence	 That briefing was good in depth and clear says James Risch Senate Foreign Relations Committee discussing the debate between Democrats and Republicans over the Soleimani intelligence	2	-2	 That[0] briefing[0] was[0] good[1] in[0] depth[0] and[0] clear[0] says[0] James[0] Risch[0] Senate[0] Foreign[-1] Relations[0] Committee[0] discussing[0] the[0] debate[0] between[0] Democrats[0] and[0] Republicans[0] over[0] the[0] Soleimani[0] intelligence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 We ve taken diplomacy off the table and the only option is military escalation says Rand Paul Senate Foreign Relations Committee discussing the state of diplomacy between the US and Iran	 We ve taken diplomacy off the table and the only option is military escalation says Rand Paul Senate Foreign Relations Committee discussing the state of diplomacy between the US and Iran	1	-2	 We[0] ve[0] taken[0] diplomacy[0] off[0] the[0] table[0] and[0] the[0] only[0] option[0] is[0] military[0] escalation[0] says[0] Rand[0] Paul[0] Senate[0] Foreign[-1] Relations[0] Committee[0] discussing[0] the[0] state[0] of[0] diplomacy[0] between[0] the[0] US[0] and[0] Iran[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
AP Stocks are closing out their best year since two zero one three led by huge gains in technology stocks	AP Stocks are closing out their best year since two zero one three led by huge gains in technology stocks	2	-1	 AP[0] Stocks[0] are[0] closing[0] out[0] their[0] best[1] year[0] since[0] two[0] zero[0] one[0] three[0] led[0] by[0] huge[0] gains[0] in[0] technology[0] stocks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Almost communist comments by the Home Secretary that economically inactive people should be mobilized into the workplace have underlined the actively hostile policy environment for young families created by the government and have angered a vocal group of stay at home mothers	Almost communist comments by the Home Secretary that economically inactive people should be mobilized into the workplace have underlined the actively hostile policy environment for young families created by the government and have angered a vocal group of stay at home mothers	1	-4	 Almost[0] communist[0] comments[0] by[0] the[0] Home[0] Secretary[0] that[0] economically[0] inactive[0] people[0] should[0] be[0] mobilized[0] into[0] the[0] workplace[0] have[0] underlined[0] the[0] actively[0] hostile[-2] policy[0] environment[0] for[0] young[0] families[0] created[0] by[0] the[0] government[0] and[0] have[0] angered[-3] a[0] vocal[0] group[0] of[0] stay[0] at[0] home[0] mothers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one nine one seven is a bit of a brag track a cinematic flex by people who are really damn good with a camera The World War I film from Skyfall director Sam Mendes is made to look like one continuous shot a harrowing nonstop journey through war torn France in the first 	one nine one seven is a bit of a brag track a cinematic flex by people who are really damn good with a camera The World War I film from Skyfall director Sam Mendes is made to look like one continuous shot a harrowing nonstop journey through war torn France in the first	2	-3	 one[0] nine[0] one[0] seven[0] is[0] a[0] bit[0] of[0] a[0] brag[-1] track[0] a[0] cinematic[0] flex[0] by[0] people[0] who[0] are[0] really[0] damn[-1][-1 LastWordBoosterStrength] good[1] with[0] a[0] camera[0] The[0] World[0] War[-2] I[0] film[0] from[0] Skyfall[0] director[0] Sam[0] Mendes[0] is[0] made[0] to[0] look[0] like[1] one[0] continuous[0] shot[-1] a[0] harrowing[0] nonstop[0] journey[0] through[0] war[-2] torn[0] France[0] in[0] the[0] first[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
two zero two zero Democrat and new age author Marianne Williamson has laid off her entire presidential campaign staff according to WMUR	two zero two zero Democrat and new age author Marianne Williamson has laid off her entire presidential campaign staff according to WMUR	1	-1	 two[0] zero[0] two[0] zero[0] Democrat[0] and[0] new[0] age[0] author[0] Marianne[0] Williamson[0] has[0] laid[0] off[0] her[0] entire[0] presidential[0] campaign[0] staff[0] according[0] to WMUR[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two zero two zero is shaping up to be a big year for games with blockbusters for the Xbox one PS four and Nintendo Switch alongside the all new PS five and Xbox Series X That includes games like Halo Infinite Half Life Alyx Cyberpunk two zero seven seven and Animal Crossing New Horizons	two zero two zero is shaping up to be a big year for games with blockbusters for the Xbox one PS four and Nintendo Switch alongside the all new PS five and Xbox Series X That includes games like Halo Infinite Half Life Alyx Cyberpunk two zero seven seven and Animal Crossing New Horizons	2	-2	 two[0] zero[0] two[0] zero[0] is[0] shaping[0] up[0] to[0] be[0] a[0] big[0] year[0] for[0] games[0] with[0] blockbusters[-1] for[0] the[0] Xbox[0] one[0] PS[0] four[0] and[0] Nintendo[0] Switch[0] alongside[0] the[0] all[0] new[0] PS[0] five[0] and[0] Xbox[0] Series[0] X[1] That[0] includes[0] games[0] like[1] Halo[0] Infinite[0] Half[0] Life[0] Alyx[0] Cyberpunk[0] two[0] zero[0] seven[0] seven[0] and[0] Animal[0] Crossing[0] New[0] Horizons[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eight BitDs zero two controller is small enough to carry around as a keychain so you can always be equipped with a Nintendo Switch controller for impromptu games The Bluetooth controller is available now for two zero 	eight BitDs zero two controller is small enough to carry around as a keychain so you can always be equipped with a Nintendo Switch controller for impromptu games The Bluetooth controller is available now for two zero	1	-1	 eight[0] BitDs[0] zero[0] two[0] controller[0] is[0] small[0] enough[0] to[0] carry[0] around[0] as[0] a[0] keychain[0] so[0] you[0] can[0] always[0] be[0] equipped[0] with[0] a[0] Nintendo[0] Switch[0] controller[0] for[0] impromptu[0] games[0] The[0] Bluetooth[0] controller[0] is[0] available[0] now[0] for[0] two[0] zero[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A two one year old soldier from Illinois has been identified as one of two US military personnel killed Saturday in Afghanistan	A two one year old soldier from Illinois has been identified as one of two US military personnel killed Saturday in Afghanistan	1	-4	 A[0] two[0] one[0] year[0] old[0] soldier[0] from[0] Illinois[0] has[0] been[0] identified[0] as[0] one[0] of[0] two[0] US[0] military[0] personnel[0] killed[-3] Saturday[0] in[0] Afghanistan[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A three zero year old man in Alaska survived more than three weeks in subzero temperatures after his cabin in a remote area of the Susitna Valley burned down	A three zero year old man in Alaska survived more than three weeks in subzero temperatures after his cabin in a remote area of the Susitna Valley burned down	1	-2	 A[0] three[0] zero[0] year[0] old[0] man[0] in[0] Alaska[0] survived[0] more[0] than[0] three[0] weeks[0] in[0] subzero[0] temperatures[0] after[0] his[0] cabin[0] in[0] a[0] remote[0] area[0] of[0] the[0] Susitna[0] Valley[0] burned[-1] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A four one year old British man who attempted to dislodge a piece of popcorn stuck in his teeth using various objects claims he later developed a life threatening infection that required him to undergo open heart surgery	A four one year old British man who attempted to dislodge a piece of popcorn stuck in his teeth using various objects claims he later developed a life threatening infection that required him to undergo open heart surgery	1	-3	 A[0] four[0] one[0] year[0] old[0] British[0] man[0] who[0] attempted[0] to[0] dislodge[0] a[0] piece[0] of[0] popcorn[0] stuck[0] in[0] his[0] teeth[0] using[0] various[0] objects[0] claims[0] he[0] later[0] developed[0] a[0] life[0] threatening[-2] infection[-1] that[0] required[0] him[0] to[0] undergo[0] open[0] heart[0] surgery[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A five eight year old woman died after she was struck by a float Wednesday night during a Mardi Gras parade in New Orleans officials said The woman was hit at about nine pm at the intersection of Magazine and Valence streets during the Krewe of Nyx parade according to the New Orleans Police Department She was declared dead at the scene The Krewe of Nyx was founded in two zero one one as an all female Mardis Grad krewe which now marches annually on the Wednesday before Fat Tuesday In two zero one eight it was named the largest parading krewe ever in the history of New Orleans Mardi Gras and in two zero one nine it was even bigger with four four floats and three three eight three riders The victim may have possibly been trying to reach for beads when she was struck according to a daily log sent to local media by the New Orleans Police Department NOLAcom reported The preliminary report is derived from raw information and is subject to change police say	A five eight year old woman died after she was struck by a float Wednesday night during a Mardi Gras parade in New Orleans officials said The woman was hit at about nine pm at the intersection of Magazine and Valence streets during the Krewe of Nyx parade according to the New Orleans Police Department She was declared dead at the scene The Krewe of Nyx was founded in two zero one one as an all female Mardis Grad krewe which now marches annually on the Wednesday before Fat Tuesday In two zero one eight it was named the largest parading krewe ever in the history of New Orleans Mardi Gras and in two zero one nine it was even bigger with four four floats and three three eight three riders The victim may have possibly been trying to reach for beads when she was struck according to a daily log sent to local media by the New Orleans Police Department NOLAcom reported The preliminary report is derived from raw information and is subject to change police say	1	-3	 A[0] five[0] eight[0] year[0] old[0] woman[0] died[0] after[0] she[0] was[0] struck[-1] by[0] a[0] float[0] Wednesday[0] night[0] during[0] a[0] Mardi[0] Gras[0] parade[0] in[0] New[0] Orleans[0] officials[0] said[0] The[0] woman[0] was[0] hit[0] at[0] about[0] nine[0] pm[0] at[0] the[0] intersection[0] of[0] Magazine[0] and[0] Valence[0] streets[0] during[0] the[0] Krewe[0] of[0] Nyx[0] parade[0] according[0] to[0] the[0] New[0] Orleans[0] Police[0] Department[0] She[0] was[0] declared[0] dead[-2] at[0] the[0] scene[0] The[0] Krewe[0] of[0] Nyx[0] was[0] founded[0] in[0] two[0] zero[0] one[0] one[0] as[0] an[0] all[0] female[0] Mardis[0] Grad[0] krewe[0] which[0] now[0] marches[0] annually[0] on[0] the[0] Wednesday[0] before[0] Fat[-1] Tuesday[0] In[0] two[0] zero[0] one[0] eight[0] it[0] was[0] named[0] the[0] largest[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A six four earthquake hit Southern California about one five zero miles from Los Angeles on Thursday morning according to the US Geological Survey Follow here for the latest	A six four earthquake hit Southern California about one five zero miles from Los Angeles on Thursday morning according to the US Geological Survey Follow here for the latest	1	-1	 A[0] six[0] four[0] earthquake[0] hit[0] Southern[0] California[0] about[0] one[0] five[0] zero[0] miles[0] from[0] Los[0] Angeles[0] on[0] Thursday[0] morning[0] according[0] to[0] the[0] US[0] Geological[0] Survey[0] Follow[0] here[0] for[0] the[0] latest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
