,,,,,,,,,,Sentiment Scores,,,,
ABC News,Karma Allen,Midwife charged after at-home birth ends in tragedy,Angela Hock could face as many as two zero years in prison if convicted as charged,Neutral,-2,,,Independent,-1.97,82,52,30,23,0
ABC News,Elizabeth McLaughlin and Luis Martinez,President Trump awards Iraq War's 1st living Medal of Honor recipient,Army Staff Sgt David G Ballavia is the first living Medal of Honor recipient for the Iraq War President Donald Trump presented the award Tuesday,Neutral,-3,,,Metro,-1.96,24,11,6,8,0
ABC News,Meridith McGraw,First lady announces Grisham as new White House press secretary,First lady Melania Trump announced her communications director Stephanie Grisham will replace Sarah Sanders as White House press secretary,Neutral,-1,,,Mirror,-1.94,24,8,11,2,2
ABC News,Meghan Keneally,Illinois governor set to legalize marijuana,Gov JB Pritzker campaigned on the issue and the Illinois General Assembly passed a law legalizing and regulating production on May three one ,Neutral,-1,,,NBC News,-2.12,17,15,11,6,0
ABC News,Justin Doom and Kelly Terez,"'Start Here': Iran sanctions planned, mass deportations delayed, climate vote dodged",Its Monday June two four two zero one nine Heres what you need to know to start your day,Neutral,-1,,,Reuters,-2.54,83,162,131,104,1
ABC News,Bill Hutchinson,Prosecutor says charges to be dropped against woman who lost pregnancy in shooting,Marshae Jone s was indicted by a grand jury in May,Neutral,-1,,,The Hill,-1.82,101,56,40,10,1
ABC News,The Associated Press,Teenager charged in slaying of Maryland police officer's son,Maryland authorities have charged a one seven year old suspect with fatally shooting the teenage son of a Washington DC area police officer during adrug related encounter The Charles County Sheriffs Office charged Darryl Edward Freeman as an adult on first degree murder and other related charges in the slaying of Bradley Alan Brown one seven the office said in a statement Wednesday Brown was found shot to death in the driveway of a home Tuesday night Diane Richardson a spokeswoman for the Charles County Sheriffs Office told news outlets He was the son of a Prince Georges County officer a spokeswoman for that department confirmed The officers name wasn t released,Neutral,-4,,,The New York Times,-2.03,60,43,31,17,0
ABC News,Daniel Manzo,Severe weather threatens 50 million from Wisconsin to Georgia,More than five zero million are at risk for severe weather from Wisconsin to Georgia on Monday,Neutral,-2,,,The Verge,-1.60,104,52,20,4,1
ABC News,Morgan Winsor,Over 750 pounds of illegal fireworks seized at California residence,More than seven five zero pounds of dangerous illegal fireworks were seized from a single residence in California ahead of the four th of July holiday authorities said,Neutral,-2,,,,,,,,,
ABC News,The Associated Press,Police find secret cigarette factory 4 meters underground,Police have dismantled what they say is the Europe Unions first clandestine underground cigarette factory four meters one three feet under a horse stable in southern Spain,Neutral,-2,,,Totals,,981,890,694,379,16
ABC News,Julia Jacobo,"YouTube gaming personality found dead, police say",Popular YouTube gaming personality Desmond Etika Amofah has been found dead less than a week after he went missing according to police,Neutral,-3,,,,,,,,,
ABC News,Meridith McGraw,Trump responds to Iranian insults with threat of 'obliteration',President Donald Trump on Tuesday responded to Iranian mockery by threatening to potentially obliterate parts of that country if it attacks anything American ,Neutral,-3,,,,,,,,,
ABC News,Briana Stewart,Some black voters consider other front-runners as Biden looks to South Carolina,Presidential candidate and former vice president Joe Biden is leaning into his base of black voters more than ever Results from the New Hampshire primary were barely rolling in when Biden chartered a last minute flight to meet with his supporters at a campaign event in South Carolina a state where two thirds of the Democratic electorate is African American His warm reception appeared to remove the sting of his fifth place showing in the Granite State,Neutral,-2,,,,,,,,,
ABC News,Lucien Bruggeman Ali Dukakis and Soo Rin Kim,Trump ally Roger Stone sentenced to 40 months in prison,Roger Stone the longtime friend and former campaign adviser to President Donald Trump is was sentenced to four zero months in prison Thursday at federal court in Washington amid speculation that Trump could potentially pardon him ,Neutral,-2,,,,,,,,,
ABC News,Lee Ferran,"'Decade of negligence': Feds fail to protect Americans' info, report says",Several major federal agencies that collect vast amounts of personal data about American citizens routinely failed to adequately protect it a congressional report says,Neutral,-3,,,,,,,,,
ABC News,SREYA BANERJEE and Morgan Winsor,"Bodies of 7 missing climbers recovered in Indian Himalayas, officials say",The bodies of seven climbers who went missing in the Himalayas within India last month have been recovered officials said,Neutral,-1,,,,,,,,,
ABC News,Morgan Winsor,2 cruise ship passengers in Japan die from novel coronavirus,two passengers from a cruise ship quarantined in Japanese waters have died from the novel coronavirus officials said Its the first deaths to occur out of the hundreds of confirmed cases from the Diamond Princess cruise ship The deceased patients a man and a woman were in their eight zero s and were residents of Japan Both were taken ashore for treatment last week after having prolonged fevers and they ultimately tested positive for the newly identified virus known officially as COVID one nine They both died Thursday according to Japans Ministry of Health Labor and Welfare which is leading and coordinating the public health response on board the cruise ship,Neutral,-3,,,,,,,,,
ABC News,The Associated Press,Authorities: Virginia farmer holds goat thief at gunpoint,Virginia man held a suspect who was trying to steal goats from his farm at gunpoint until authorities could arrive to make an arrest authorities said Stafford County deputies responded to a call Friday night from the property owner who said he was holding a thief in the middle of a field on his land Stafford County Sheriffs spokeswoman Amanda Vicinanzo said The farmer told deputies his wife had gone outside to check on their goats and discovered they d been let out of their pen,Neutral,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Trump's assassination of Soleimani: Five things to know,A sit in at Syracuse University entered its four th day on Thursday as dozens of students from the activist group NotAgainSU continued to lash out at the universitys faculty over what they say are hate crimes continuing on campus According to the schools Department of Public Safety eight bias incidents have been investigated since early December In a recent case two African American students reported racial slurs shouted toward them as they walked to class earlier this month Swastikas drawn with graffiti were also found inside the school library and a popular campus restroom The FBI launched an investigation into campus racism homophobia and anti Semitic graffiti in November after several similar incidents were reported But students say their investigation didn t lead to any changes ,Neutral,-4,,,,,,,,,
Al Jazeera English,Al Jazeera,Libya: GNA-aligned forces say they quit Sirte to avoid bloodshed,Admission comes a day after GNA dismissed Haftars forces claim of capturing coastal city of Sire as rumours ,Liberal,-2,,,,,,,,,
Al Jazeera English,Erin Hale,Tsai Ing-wen takes lead in Taiwan's presidential election,After fiercely fought campaign incumbent president appears set to win second term unofficial live tallies show,Liberal,-4,,,,,,,,,
Al Jazeera English,AL Jazeera,Germany shisha lounge shootings: All the latest updates,After nine people were killed at shisha bars German prosecutor reveals details of suspects far right manifesto,Liberal,-4,,,,,,,,,
Al Jazeera English,Al Jazeera,Al-Shabab attacks military base in Kenya's Lamu county,Al Qaeda linked group attacks Camp Simba a base used by United States and Kenyan military personnel on Manda Bay,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Ukraine does not rule out attack as cause of plane crash in Iran,All on board Ukrainian International jet from Tehran were killed in crash which came amid height ened UU Iran tensions,Liberal,-4,,,,,,,,,
Al Jazeera English,Al Jazeera,Iraq: Anti-government protesters denounce pro-Iran crowds,Anti gov t protesters in Baghdad accuse authorities of double standard for not cracking down on pro Iran demonstrators,Liberal,-2,,,,,,,,,
Al Jazeera English,Gareth Browne,"Qassem Soleimani killing sparks concerns, deepens divide in Iraq",Anti government demonstrators want outside forces to respect Iraqs sovereignty as they fight for political change,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,New US air raid targets Hashd commander in Iraq: state TV,Area where the attack took place was reportedly near a base of non US coalition forces,Liberal,-3,,,,,,,,,
Al Jazeera English,Arwa Ibrahim,Apathy runs high in Tehran as Iran gears up for parliament vote,As campaigning ends voters in capital say they will boycott key poll despite officials appeals for a big turnout,Liberal,-1,,,,,,,,,
Al Jazeera English,David Suber and Roshan De Stone,Residents of Idlib: 'Your indifference is our death sentence',As Syrian government forces close in on them residents of Idlib ask if the world will just stand aside and watch,Liberal,-1,,,,,,,,,
Al Jazeera English,Mansur Mirovalev,Zelenskyy: Claims Iran missile downed Ukraine plane 'unconfirmed',As Western countries claim jet was downed killing all one seven six on board Volodymyr Zelenskyy demands evidence is shared,Liberal,-2,,,,,,,,,
Al Jazeera English,Nyshka Chandran,"What do tense US-Iranian relations mean for China, North Korea?",Asian nations likely to be affected differently with economic risks for China and Pyongyang eyeing strategic gains,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Pentagon rejects Trump threat to target Iranian cultural sites,At odds with president defence secretary says US will not violate laws of armed conflict by striking cultural sites,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Ukrainian airliner crashes near Tehran: Iranian media,Boeing seven three seven plane was carrying one eight zero passengers and crew when it crashed shortly after take off from the Iranian capital,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Libyan forces loyal to Haftar announce conditional ceasefire,Ceasefire might prove hard to maintain following escalation of fighting around Tripoli Sirte and nature of alliances,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,India to hang 2012 New Delhi gang rape convicts on January 22,Court issues death warrant for four men convicted in rape and murder of woman on a bus that galvanised mass protests,Liberal,-4,,,,,,,,,
Al Jazeera English,Al Jazeera,'Clerics get lost!': Iran protests rage on for a third day,Crowds in Iran call on leadership to quit after Tehran admitted it mistakenly shot down plane with one seven six people on board,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Indian police officer suspected of aiding Kashmir rebels arrested,Davinder Singhs arrest along with rebels rattles Indian security apparatus and raises questions about his activities,Liberal,-2,,,,,,,,,
Al Jazeera English,William Roberts,US House to vote on limiting Trump's actions against Iran,Democrat controlled House expected to pass War Powers resolution but similar resolution faces uphill battle in Senate,Liberal,-3,,,,,,,,,
Al Jazeera English,William Roberts,US House votes to restrain Trump's actions against Iran,Democrat controlled House passes nonbinding War Powers resolution but similar measure faces an uphill battle in Senate,Liberal,-3,,,,,,,,,
Al Jazeera English,Gareth Browne,'Keep your war away': Iraqis revive protests amid US-Iran tension,Demonstrators take aim at foreign interference in Iraq after tensions between US and Iran played out on Iraqi soil,Liberal,-3,,,,,,,,,
Al Jazeera English,Timour Azhari,World leaders pour into Oman to offer condolences for Qaboos,Dignitaries pay respects to Sultan Haitham as Gulf state enters second day of mourning after predecessors death,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Iraq PM tells Kurdish leaders he does not seek hostility with US,Discussions included anti government protests presence of foreign troops in Iraq and broader regional tensions,Liberal,-3,,,,,,,,,
Al Jazeera English,John Psaropoulos,"Greece, Israel, Cyprus, move to build East Med gas pipeline",East Med would stretch some one nine zero zero km from gas fields in Israel and Cyprus to the east Mediterranean to Italy via Greece,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Prospect of fresh sanctions on Iran rises as EU leaders mull deal,EU powers plan emergency meeting after Iran says scrapping limits on enriching uranium following killing of Soleimani,Liberal,-2,,,,,,,,,
Al Jazeera English,Joseph Stepansky,Coronavirus in N Korea could be 'much more lethal' than in China,Experts say outbreak in North Korea could pose great risks to a malnourished people already https wwwaljazeeracom news two zero two zero zero two coronavirus korea lethal china two zero zero two one nine one three two one four one two six seven html from poor health,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Dozens killed in attack on military academy in Libya's Tripoli,Ford Motor Co on Monday posted a one three percent fall in four th quarter vehicle sales as soft demand for passenger cars outweighed higher sales of pick up trucks,Neutral,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Merkel: Germany to host Libya peace conference,German chancellor stressed Libyas warring parties would need to play an important role to help find a solution,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Kuwaiti makeup artist slammed for posting blackface photo,Ghadeer Sultan insists she is not racist and refuses to delete blackface photos saying is showcasing her talent,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Former Renault-Nissan boss Ghosn confirms he has left Japan,Ghosn who is facing trial in Japan for alleged financial misconduct says he is in Lebanon,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,"Rockets target Baghdad's Green Zone, base housing US troops",Green Zone attacked two rockets slam into base housing US troops a day after US strike that killed Iranian commander,Liberal,-4,,,,,,,,,
Al Jazeera English,Timour Azhari,"Oman's new Sultan faces diplomatic, economic challenges",Haitham bin Tarek has indicated he will maintain the countrys independent foreign policy in troubled Gulf region,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,UN monitors say Houthis not behind Saudi Aramco attacks: Report,Houthi claimed attacks on two major Saudi oil facilities in September caused a spike in global oil prices,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Dozens killed in stampede at Qassem Soleimani's funeral,Huge crowds of mourners packed streets of Kerman hometown of Iranian military commander killed in US air strike,Liberal,-4,,,,,,,,,
Al Jazeera English,AL Jazeera,200 days of Kashmir siege: A mother's wait for her jailed son,Hundreds of Kashmiris have been thrown into jail under PSA law that can prolong detention without bail,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Iran's Khamenei says missile strike a 'slap in the face' for US,In a televised speech the Iranian supreme leader says the corrupt US presence in the region must end,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Libya militias rake in millions in European migration funds: AP,In an Associated Press investigation migrants recount ordeals in EU funded detention centres run by human traffickers,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,World reacts after Iran fires rockets at US forces in Iraq,Iran fired at least a dozen missiles at US facilities in Iraq on Wednesday less than a week after US killed top general,Liberal,-4,,,,,,,,,
Al Jazeera English,Al Jazeera,Soleimani killing: Iran abandons nuclear deal limits,Iran says in televised announcement that it remains open to negotiations with European partners,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,US-Iran tensions after Soleimani killing: All the latest updates,Iranian commander says missile barrage on US targets in Iraq was the start of a series of attacks to expel US forces,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Soleimani killing: Iran's Zarif vows response to US 'act of war',Irans foreign minister tells Al Jazeera the US days in the region are numbered pledges retaliation in due course,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,World reacts to US killing of Iran's Qassem Soleimani in Iraq,Leaders across the world warn that USs targeted killing of Iranian top general could ignite conflict in region,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,'Loss for region': World reacts to death of Oman's Sultan Qaboos,Leaders from across the world pay their respects to Omans longest serving leader who ruled for nearly five zero years,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Libya: Haftar forces announce capture of large parts of Sirte,LNA claims capturing outskirts of the city including al Qardabiya air base before moving towards city centre,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Haitham bin Tariq 'named successor' to Oman's Sultan Qaboos,Local media report the former culture minister has been sworn in before the ruling family council,Liberal,-1,,,,,,,,,
Al Jazeera English,AL Jazeera,California to apologise for internment of Japanese Americans,Many say California led the racist anti Japanese American movement for aiding US internment of Japanese Americans,Liberal,-2,,,,,,,,,
Al Jazeera English,William Roberts,Senate Republicans back plan for Trump impeachment trial rules,McConnell says he has backing of enough Republicans to start trial as soon as House sends Trump impeachment articles,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Judges say special court in Musharraf case was unconstitutional,Musharraf was sentenced to death in absentia by a special court in December last year on treason charges,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,'Go back Modi': India protesters condemn PM's visit to Kolkata,Nearly three zero zero zero zero protesters take to megacitys streets to denounce Modis visit and oppose a new citizenship law,Liberal,-2,,,,,,,,,
Al Jazeera English,Akash Bisht,'Farcical exercise': Foreign envoys in Kashmir on India invite,New Delhi accused of organising yet another guided tour of the region that has been under a lockdown since August five ,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Iraq: Katyusha rockets fired at Baghdad airport,Nighttime attack occurred amid tensions with the US after an Iran backed militia attacked the US Embassy in Baghdad,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,JNU attack: India police file case against injured student leader,No arrest made in connection with Sunday nights violence but police file case against Aishe Ghosh for vandalism,Liberal,-4,,,,,,,,,
Al Jazeera English,Al Jazeera,"3,000 additional US troops heading to Middle East: Officials",Officials speaking to Reuters on condition of anonymity say thousands of additional troops will be sent to the region,Liberal,-1,,,,,,,,,
Al Jazeera English,Arwa Ibrahim,'You never let us down': Thousands mourn Soleimani in Baghdad,PMF supporters gather in Baghdad after US kills Irans Qassem Soleimani Iraq PMF deputy leader Abu Mahdi al Muhandis,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Rockets target Baghdad's Green Zone for second successive night,Police sources say six people wounded after Green Zone and ground near US embassy in Iraqi capital targeted,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,US rejects Iraq request to discuss troop withdrawal,Prime Minister Adel Abdul Mahdi made the request in a phone call with US Secretary of State Mike Pompeo on Thursday,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Police fire tear gas as Hong Kong rings in New Year,Protesters at the harbourfront counted down chanting Ten nine Liberate Hong Kong revolution now ,Liberal,-2,,,,,,,,,
Al Jazeera English,AL Jazeera,"S Sudan president, rebel leader agrees to form unity government",Rebel chief Riek Machar says he will form a government with President Salva Kiir after years of fighting,Liberal,-3,,,,,,,,,
Al Jazeera English,Tracey Shelton,'A shape in the ash': Bushfires destroy Australian wildlife,Rescuers race to save animals in distress amid reports that half a billion mammals bird and reptiles have died,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,"2020: World rings in new year amid wildfires, protests",Revelers celebrate new year but protests in Hong Kong and India along with wildfires in Australia dampen mood,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Iran admits downing Ukrainian airliner: All the latest updates,Second day of protests after authorities admit the military accidentally downed Kiev bound plane killing one seven six people,Liberal,-2,,,,,,,,,
Al Jazeera English,Asad Hashim,"Bomb attack targets worshipers at Quetta mosque, killing 14",Senior police official among the dead as bomb explodes at mosque packed with dozens of people offering sunset prayers,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Rockets hit Iraq military base hosting US troops: Reports,Several rockets slam into Iraqi airbase north of Baghdad where US troops are based officials and military sources say,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Iran denies 'cover up' amid public anger over plane crash,Spokesman insists government did not lie about plane shootdown dismisses Trumps messages of support for protesters,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Putin meets Assad in rare Syria visit amid US-Iran tensions,Surprise visit comes as regional tensions intensify over Syrias ally Iran vowing response to Soleimanis killing,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,TOI 700 d: Earth-sized planet found relatively nearby,TESS discovers Earth sized world orbiting a star about one zero zero light years from Earth NASA announces,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Oman's Sultan Qaboos dies: state media,The seven nine year old monarch had ruled the sultanate since one nine seven zero and transformed it into a modern state,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,India's top court orders review of Kashmir internet shutdown,The top court said that the communications lockdown in Muslim majority region violated the countrys telecoms rules,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Iran: Ukraine plane caught fire but crew never called for help,The Ukrainian airliner was turning back before crashing near Tehran an initial report from investigators says,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Qatar's Emir Sheikh Tamim to visit Iran for talks,The visit comes amid height ened tensions in the Gulf following the US killing of top Iranian commander Qassem Soleimani,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Afghanistan fears violence in region after Soleimani's killing,The war torn country called on Iran and the US to prevent conflict escalation,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,Rockets fired at Iraq base housing US troops: Reports,Theres no information yet on any causalities or damage to Iraqs Ain al Assad military base a US official told Reuters,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,In Pictures: Thousands march in Baghdad to mourn Soleimani,Thousands of Iraqis joined the funeral procession for Iranian general Soleimani killed in a US air strike on Friday,Liberal,-4,,,,,,,,,
Al Jazeera English,Ana P Santos,"Philippines on alert as volcano spews ash, steam and lava",Thousands of residents evacuated and Manila airport closed amid fears of hazardous eruption of Taal volcano,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,No deal: Libya's parliament votes against Turkish involvement,Turkeys parliament passed a motion earlier this week to allow a military intervention in Libya,Liberal,-1,,,,,,,,,
Al Jazeera English,Hamza Mohamed,Will Kagame and Museveni resolve their dispute?,two leaders set to meet on Friday in bid to resolve continuing dispute that led to closing of their shared border,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Fighting rages in northwest Syria; two Turkish troops killed,two Turkish soldiers were killed and another five wounded in Syrian government air raids on Thursday near the northwest region of Idlib More than five zero Syrian forces were killed in retaliation Turkeys defence ministry added The attacks came a day after President Recep Tayyip Erdogan warned of an imminent Turkish military offensive in Idlib where Syrian forces backed by Russia airpower mounted an operation to capture the region,Liberal,-4,,,,,,,,,
Al Jazeera English,Alasdair Soussi,UK Parliament approves Boris Johnson's Brexit deal,UK prime minister succeeded where his predecessor repeatedly failed getting Brexit legislation through Commons,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,US to send Mexican asylum seekers to Guatemala under new plan,Under a bilateral agreement Trump administration to begin sending Mexican asylum seekers in the US to Guatemala,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,Pelosi says she will submit Trump impeachment to Senate,US House Speaker Nancy Pelosi says she will advance legislation next week that will formally trigger a trial,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,US believes Ukraine plane accidentally brought down by Iran,US officials believe an Iranian anti aircraft missile brought down the plane that had one seven six on board US media report,Liberal,-1,,,,,,,,,
Al Jazeera English,Al Jazeera,"Trump: US continues to look at options, imposing sanctions",US president makes statement on Iran following missile attacks on two Iraqi bases housing US troops,Liberal,-3,,,,,,,,,
Al Jazeera English,AL Jazeera,Analysts see 'blue wave' emerging in US cities ahead of election,Voters interest in going to polls appears to be growing faster among those who disapprove of President Donald Trump,Liberal,-2,,,,,,,,,
Al Jazeera English,Al Jazeera,Trump: 52 sites to be targeted if Iran retaliates over Soleimani,Warning followed rocket attacks on Green Zone and Iraqi base housing US troops after US kills senior Iranian commander,Liberal,-3,,,,,,,,,
Al Jazeera English,Al Jazeera,"New Delhi: Students, teachers injured in clashes at JNU",Witnesses told news channels clashes began following a public meeting organised by JNU Teachers Association,Liberal,-1,,,,,,,,,
BBC News,BBC News,Private jet firm: Rogue employee helped Ghosn flee, We don t really look at peoples faces one guard at the Japanese private jet terminal said,Liberal,-1,,,,,,,,,
BBC News,BBC News,'Child stowaway' found dead in plane undercarriage,A body was discovered after an Air France flight had arrived in Paris from Ivory Coast,Liberal,-1,,,,,,,,,
BBC News,BBC News,British teenager sentenced over false rape claim,A British woman is given a four month suspended sentence after being found guilty of lying about gang rape in Cyprus,Liberal,-4,,,,,,,,,
BBC News,BBC News,Tributes pour in as Oman mourns sultan,A condolence ceremony is being held as the country remembers Sultan Qaboos who died aged seven nine ,Liberal,-3,,,,,,,,,
BBC News,BBC News,Victoria's Secret stake sale values firm at $1.1bn,A controlling stake in the lingerie firm Victorias Secret will be sold to a US private equity firm On Thursday the fashion retailer L Brands announced it will sell five five percent of the company to Sycamore Partners for five two five m £four zero eight m Boss and executive chairman of Victorias Secret Leslie Wexner will step down as part of the deal He said that separating Victorias Secret into a private company would restore the business growth The lingerie company accounted for nearly half of the companies one three two bn revenue in two zero one nine But it has seen sales decline over the last year L Brands valued the firm at one one bn and will retain a four five percent stake After selling several businesses L Brands said it will concentrate on the beauty chain it owns Bath Body Works Mr Wexner has been appointed chairman emeritus and will remain a member of the board,Liberal,-1,,,,,,,,,
BBC News,BBC News,Trump can raid $3.6bn of defence funds for wall,A court says billions can be diverted to Mr Trumps planned wall as the legal battle grinds on,Liberal,-2,,,,,,,,,
BBC News,BBC News,A murder trial that tore band of brothers apart,A decorated US Navy Seal was put on trial for war crimes after other Seals testified against him,Liberal,-3,,,,,,,,,
BBC News,BBC News,'Further victims' of rapist Sinaga come forward,A dedicated incident room for reporting sexual abuse has seen a very positive response police say,Liberal,-4,,,,,,,,,
BBC News,BBC News,Trump suffers new border wall construction setback,A federal appeals court upholds a freeze on Pentagon money y to build a border wall with Mexico,Liberal,-1,,,,,,,,,
BBC News,BBC News,What to look out for in the Oscar nominations,A female director a repeat of OscarsSoWhite or a good year for British talent,Liberal,-1,,,,,,,,,
BBC News,BBC News,Burglar cooks snack in Taco Bell then falls asleep,A Georgia man who broke into a Taco Bell overnight paused to make himself some food and take a nap,Liberal,-2,,,,,,,,,
BBC News,BBC News,Britain's 'most prolific rapist' jailed for life,A man has been arrested after stabbing a worshipper in the shoulder during late afternoon prayers at the London Central Mosque in Regents Park police have confirmed Officers were called to the holy building in central London at three one zero pm to find the mosques Muazzin the person designated to lead and recite the call to prayer had been stabbed The man who is in his seven zero s has since been taken to a major trauma centre where he is recovering from non life threatening injuries,Neutral,-4,,,,,,,,,
BBC News,BBC News,London Central Mosque stabbing: Man is arrested,A man in Alaska managed to survive more than three weeks in the wilderness after his remote cabin burned down until he was rescued last week by state troopers who spotted an SOS signal stamped in the snow,Conservative,-2,,,,,,,,,
